Tracker;Operation;Occurrences
0;SET_INDEXED; 1282916
0;REMOVE_ALL; 7194
0;REMOVE_INDEXED; 195780
0;EMPTY; 701717
0;CSTR_COLL; 5601
0;CSTR_CAP; 530673
0;CONTAINS; 13696
0;ENSURE_CAP; 4434299
0;ITERATOR; 1290872
0;SIZE; 5876148
0;REMOVE_OBJ; 6
0;ADD_OBJ; 4409346
0;ADD_INDEXED; 2258
0;GROW; 510526
0;INDEX_OF; 30391
0;CLEAR; 110893
0;SUBLIST; 34955
0;GET_INDEXED; 6440617
0;TO_ARRAY; 14758
0;CSTR_STD; 399858
0;CREATE_LIST_ITR; 37413
0;ADD_ALL; 22695
0;SORT; 5454
1;SET_INDEXED;0
1;CSTR_COLL;1
1;SIZE;28
1;REMOVE_OBJ;6
1;ADD_OBJ;0
1;GROW;0
1;CLEAR;0
1;GET_INDEXED;25
2;SET_INDEXED;0
2;ENSURE_CAP;2
2;ITERATOR;55
2;SIZE;68
2;REMOVE_OBJ;0
2;ADD_OBJ;2
2;GROW;1
2;CLEAR;0
2;CSTR_STD;68
3;SET_INDEXED;26
3;ENSURE_CAP;17133
3;ITERATOR;13409
3;SIZE;3525
3;REMOVE_OBJ;0
3;ADD_OBJ;16680
3;ADD_INDEXED;426
3;GROW;5605
3;CLEAR;0
3;TO_ARRAY;27
3;CSTR_STD;3486
3;CREATE_LIST_ITR;478
3;ADD_ALL;27
4;SET_INDEXED;0
4;SIZE;830
4;REMOVE_OBJ;0
4;ADD_OBJ;0
4;GROW;0
4;CLEAR;0
4;CSTR_STD;1
5;SET_INDEXED;0
5;ENSURE_CAP;722
5;ITERATOR;305
5;SIZE;635
5;REMOVE_OBJ;0
5;ADD_OBJ;722
5;GROW;403
5;INDEX_OF;25
5;CLEAR;0
5;GET_INDEXED;25
5;CSTR_STD;305
5;SORT;305
6;SET_INDEXED;0
6;ENSURE_CAP;392
6;ITERATOR;228
6;SIZE;1532
6;REMOVE_OBJ;0
6;ADD_OBJ;392
6;GROW;236
6;CLEAR;0
6;GET_INDEXED;784
6;CSTR_STD;228
6;SORT;228
7;SET_INDEXED;0
7;ENSURE_CAP;107
7;ITERATOR;228
7;SIZE;456
7;REMOVE_OBJ;0
7;ADD_OBJ;107
7;GROW;106
7;CLEAR;0
7;CSTR_STD;228
7;SORT;228
8;SET_INDEXED;155756
8;CSTR_CAP;19678
8;ENSURE_CAP;467670
8;SIZE;1394484
8;REMOVE_OBJ;0
8;ADD_OBJ;467670
8;GROW;18
8;CLEAR;0
8;GET_INDEXED;200939
9;SET_INDEXED;667016
9;CSTR_CAP;19678
9;ENSURE_CAP;467670
9;SIZE;19628
9;REMOVE_OBJ;0
9;ADD_OBJ;467670
9;GROW;18
9;CLEAR;0
9;GET_INDEXED;654518
10;SET_INDEXED;0
10;CONTAINS;421
10;ENSURE_CAP;25253
10;ITERATOR;429
10;SIZE;35505
10;REMOVE_OBJ;0
10;ADD_OBJ;17525
10;GROW;11397
10;INDEX_OF;421
10;CLEAR;0
10;TO_ARRAY;7728
10;CSTR_STD;19678
10;ADD_ALL;7728
11;SET_INDEXED;0
11;ENSURE_CAP;188
11;SIZE;189
11;REMOVE_OBJ;0
11;ADD_OBJ;188
11;GROW;10
