Tracker;Operation;Occurrences
0;ADD_OBJ; 5721393
0;REMOVE_INDEXED; 213842
0;SET_INDEXED; 1236650
0;SORT; 5116
0;CLEAR; 130680
0;GROW; 746124
0;GET_INDEXED; 8653511
0;ADD_ALL; 24269
0;SIZE; 7476319
0;TO_ARRAY; 16416
0;CONTAINS; 23539
0;SUBLIST; 66945
0;CSTR_COLL; 6535
0;REMOVE_OBJ; 6
0;CSTR_CAP; 747405
0;ENSURE_CAP; 5749744
0;ITERATOR; 1649684
0;CSTR_STD; 562448
0;ADD_INDEXED; 4082
0;CREATE_LIST_ITR; 73243
0;INDEX_OF; 46121
0;EMPTY; 699089
0;REMOVE_ALL; 12235
1;ADD_OBJ;0
1;SET_INDEXED;0
1;CLEAR;0
1;GROW;0
1;GET_INDEXED;25
1;SIZE;28
1;CSTR_COLL;1
1;REMOVE_OBJ;6
2;ADD_OBJ;2
2;SET_INDEXED;0
2;CLEAR;0
2;GROW;1
2;SIZE;80
2;REMOVE_OBJ;0
2;ENSURE_CAP;2
2;ITERATOR;67
2;CSTR_STD;80
3;ADD_OBJ;31065
3;SET_INDEXED;11
3;CLEAR;0
3;GROW;10396
3;ADD_ALL;12
3;SIZE;6440
3;TO_ARRAY;12
3;REMOVE_OBJ;0
3;ENSURE_CAP;31872
3;ITERATOR;14608
3;CSTR_STD;6431
3;ADD_INDEXED;795
3;CREATE_LIST_ITR;817
4;ADD_OBJ;0
4;SET_INDEXED;0
4;CLEAR;0
4;GROW;0
4;SIZE;1568
4;REMOVE_OBJ;0
4;CSTR_STD;1
5;ADD_OBJ;692
5;SET_INDEXED;0
5;SORT;305
5;CLEAR;0
5;GROW;399
5;GET_INDEXED;22
5;SIZE;632
5;REMOVE_OBJ;0
5;ENSURE_CAP;692
5;ITERATOR;305
5;CSTR_STD;305
5;INDEX_OF;22
6;ADD_OBJ;397
6;SET_INDEXED;0
6;SORT;228
6;CLEAR;0
6;GROW;238
6;GET_INDEXED;794
6;SIZE;1537
6;REMOVE_OBJ;0
6;ENSURE_CAP;397
6;ITERATOR;228
6;CSTR_STD;228
7;ADD_OBJ;113
7;SET_INDEXED;0
7;SORT;228
7;CLEAR;0
7;GROW;111
7;SIZE;456
7;REMOVE_OBJ;0
7;ENSURE_CAP;113
7;ITERATOR;228
7;CSTR_STD;228
8;ADD_OBJ;375294
8;SET_INDEXED;131569
8;CLEAR;0
8;GROW;18
8;GET_INDEXED;273935
8;SIZE;1308011
8;REMOVE_OBJ;0
8;CSTR_CAP;15842
8;ENSURE_CAP;375294
9;ADD_OBJ;375294
9;SET_INDEXED;586704
9;CLEAR;0
9;GROW;18
9;GET_INDEXED;569904
9;SIZE;15685
9;REMOVE_OBJ;0
9;CSTR_CAP;15842
9;ENSURE_CAP;375294
10;ADD_OBJ;13150
10;SET_INDEXED;0
10;CLEAR;0
10;GROW;9204
10;ADD_ALL;5401
10;SIZE;27275
10;TO_ARRAY;5401
10;CONTAINS;788
10;REMOVE_OBJ;0
10;ENSURE_CAP;18551
10;ITERATOR;795
10;CSTR_STD;15842
10;INDEX_OF;788
11;ADD_OBJ;196
11;SET_INDEXED;0
11;CLEAR;0
11;GROW;10
11;SIZE;197
11;TO_ARRAY;1
11;REMOVE_OBJ;0
11;ENSURE_CAP;196
11;CSTR_STD;1
12;ADD_OBJ;0
12;SET_INDEXED;0
12;CLEAR;0
12;GROW;0
12;SIZE;15685
12;REMOVE_OBJ;0
12;CSTR_STD;15842
13;ADD_OBJ;0
13;SET_INDEXED;0
13;CLEAR;0
13;GROW;0
13;SIZE;15685
13;REMOVE_OBJ;0
13;CSTR_STD;15842
14;ADD_OBJ;228
14;SET_INDEXED;0
14;SORT;794
14;CLEAR;0
14;GROW;110
14;SIZE;793
14;REMOVE_OBJ;0
14;ENSURE_CAP;228
14;ITERATOR;1588
14;CSTR_STD;795
15;ADD_OBJ;14648
15;SET_INDEXED;0
15;CLEAR;0
15;GROW;2596
15;SIZE;3175
15;TO_ARRAY;794
15;REMOVE_OBJ;0
15;ENSURE_CAP;14648
15;ITERATOR;794
15;CSTR_STD;795
15;EMPTY;1588
16;ADD_OBJ;55
16;SET_INDEXED;0
16;CLEAR;0
16;GROW;13
16;SIZE;799
16;REMOVE_OBJ;0
16;ENSURE_CAP;55
16;CSTR_STD;795
16;EMPTY;794
17;ADD_OBJ;4605
17;SET_INDEXED;0
17;CLEAR;0
17;GROW;1123
17;SIZE;2386
17;TO_ARRAY;531
17;REMOVE_OBJ;0
17;ENSURE_CAP;4605
17;ITERATOR;531
17;CSTR_STD;795
17;EMPTY;1588
18;ADD_OBJ;8
18;SET_INDEXED;0
18;CLEAR;0
18;GROW;4
18;SIZE;802
18;TO_ARRAY;3
18;REMOVE_OBJ;0
18;ENSURE_CAP;8
18;ITERATOR;3
18;CSTR_STD;795
18;EMPTY;1588
19;ADD_OBJ;7170
19;SET_INDEXED;0
19;CLEAR;0
19;GROW;1834
19;SIZE;3175
19;TO_ARRAY;794
19;REMOVE_OBJ;0
19;ENSURE_CAP;7170
19;ITERATOR;794
19;CSTR_STD;795
19;EMPTY;1588
20;ADD_OBJ;8745
20;SET_INDEXED;0
20;CLEAR;0
20;GROW;4005
20;ADD_ALL;30
20;SIZE;2469
20;TO_ARRAY;30
20;REMOVE_OBJ;0
20;ENSURE_CAP;8775
20;ITERATOR;2412
20;CSTR_STD;2415
20;CREATE_LIST_ITR;10
21;ADD_OBJ;2964
21;SET_INDEXED;0
21;CLEAR;0
21;GROW;235
21;SIZE;15776
21;CONTAINS;4138
21;REMOVE_OBJ;0
21;ENSURE_CAP;2964
21;CSTR_STD;15871
21;INDEX_OF;4138
22;ADD_OBJ;141087
22;SET_INDEXED;102
22;CLEAR;1126
22;GROW;1610
22;GET_INDEXED;82319
22;SIZE;470404
22;TO_ARRAY;579
22;REMOVE_OBJ;0
22;CSTR_CAP;141148
22;ENSURE_CAP;141087
22;ITERATOR;502667
23;ADD_OBJ;12409
23;SET_INDEXED;0
23;CLEAR;0
23;GROW;7689
23;SIZE;31085
23;REMOVE_OBJ;0
23;ENSURE_CAP;12409
23;ITERATOR;3940
23;CSTR_STD;13301
24;ADD_OBJ;1621352
24;SET_INDEXED;0
24;CLEAR;0
24;GROW;0
24;GET_INDEXED;990555
24;SIZE;860660
24;SUBLIST;8800
24;REMOVE_OBJ;0
24;CSTR_CAP;264022
24;ENSURE_CAP;1621352
24;ITERATOR;252420
24;CREATE_LIST_ITR;13785
25;ADD_OBJ;9814
25;SET_INDEXED;0
25;CLEAR;0
25;GROW;1996
25;SIZE;1566
25;REMOVE_OBJ;0
25;CSTR_CAP;1569
25;ENSURE_CAP;9814
25;ITERATOR;1569
26;ADD_OBJ;6116
26;SET_INDEXED;0
26;CLEAR;0
26;GROW;1810
26;SIZE;1566
26;REMOVE_OBJ;0
26;ENSURE_CAP;6116
26;ITERATOR;3138
26;CSTR_STD;1569
27;ADD_OBJ;464005
27;SET_INDEXED;0
27;CLEAR;0
27;GROW;176746
27;SIZE;198430
27;REMOVE_OBJ;0
27;ENSURE_CAP;464005
27;ITERATOR;199452
27;CSTR_STD;199452
28;ADD_OBJ;990555
28;SET_INDEXED;14252
28;CLEAR;0
28;GROW;83617
28;GET_INDEXED;480628
28;SIZE;517660
28;REMOVE_OBJ;0
28;CSTR_CAP;199452
28;ENSURE_CAP;990555
28;ITERATOR;153710
28;CREATE_LIST_ITR;58631
28;INDEX_OF;14141
29;ADD_OBJ;37302
29;SET_INDEXED;0
29;CLEAR;0
29;GROW;6046
29;SIZE;1891
29;REMOVE_OBJ;0
29;ENSURE_CAP;37302
29;ITERATOR;1894
29;CSTR_STD;1894
30;ADD_OBJ;4136
30;SET_INDEXED;0
30;CLEAR;0
30;GROW;0
30;SIZE;3115
30;REMOVE_OBJ;0
30;CSTR_CAP;3121
30;ENSURE_CAP;4136
30;ITERATOR;7994
31;ADD_OBJ;52173
31;SET_INDEXED;0
31;CLEAR;19
31;GROW;22630
31;GET_INDEXED;52146
31;SIZE;29882
31;REMOVE_OBJ;0
31;ENSURE_CAP;52173
31;CSTR_STD;14995
32;ADD_OBJ;67130
32;SET_INDEXED;0
32;CLEAR;0
32;GROW;42229
32;GET_INDEXED;1185
32;SIZE;67946
32;CONTAINS;4315
32;REMOVE_OBJ;0
32;ENSURE_CAP;67130
32;ITERATOR;66247
32;CSTR_STD;66232
32;INDEX_OF;4315
32;EMPTY;53
33;ADD_OBJ;10226
33;SET_INDEXED;0
33;CLEAR;0
33;GROW;1
33;SIZE;19990
33;REMOVE_OBJ;0
33;CSTR_CAP;9789
33;ENSURE_CAP;10226
33;ITERATOR;9707
34;ADD_OBJ;45742
34;SET_INDEXED;0
34;CLEAR;0
34;GROW;3952
34;SIZE;794
34;REMOVE_OBJ;0
34;ENSURE_CAP;45742
34;CSTR_STD;794
35;ADD_OBJ;45742
35;SET_INDEXED;0
35;CLEAR;0
35;GROW;3952
35;SIZE;46536
35;REMOVE_OBJ;0
35;ENSURE_CAP;45742
35;CSTR_STD;794
36;ADD_OBJ;0
36;SET_INDEXED;0
36;CLEAR;0
36;GROW;0
36;SIZE;794
36;REMOVE_OBJ;0
36;ITERATOR;12128
36;CSTR_STD;794
37;ADD_OBJ;5760
37;SET_INDEXED;0
37;CLEAR;0
37;GROW;1270
37;SIZE;794
37;REMOVE_OBJ;0
37;ENSURE_CAP;5760
37;CSTR_STD;794
38;ADD_OBJ;3945
38;SET_INDEXED;0
38;CLEAR;0
38;GROW;1089
38;SIZE;794
38;REMOVE_OBJ;0
38;ENSURE_CAP;3945
38;ITERATOR;794
38;CSTR_STD;794
39;ADD_OBJ;1476
39;SET_INDEXED;0
39;CLEAR;0
39;GROW;150
39;SIZE;794
39;REMOVE_OBJ;0
39;CSTR_CAP;794
39;ENSURE_CAP;1476
39;ITERATOR;794
40;ADD_OBJ;20
40;SET_INDEXED;0
40;SORT;77
40;CLEAR;0
40;GROW;20
40;SIZE;154
40;REMOVE_OBJ;0
40;ENSURE_CAP;20
40;ITERATOR;77
40;CSTR_STD;77
41;ADD_OBJ;164
41;SET_INDEXED;0
41;SORT;308
41;CLEAR;0
41;GROW;135
41;GET_INDEXED;164
41;SIZE;1396
41;REMOVE_OBJ;0
41;ENSURE_CAP;164
41;ITERATOR;308
41;CSTR_STD;308
42;ADD_OBJ;92
42;SET_INDEXED;0
42;CLEAR;0
42;GROW;25
42;REMOVE_OBJ;0
42;ENSURE_CAP;92
42;ITERATOR;39786
42;CSTR_STD;13
43;ADD_OBJ;255540
43;REMOVE_INDEXED;8409
43;SET_INDEXED;166069
43;CLEAR;0
43;GROW;93104
43;GET_INDEXED;3671956
43;SIZE;1707268
43;SUBLIST;57231
43;REMOVE_OBJ;0
43;ENSURE_CAP;258827
43;ITERATOR;246744
43;CSTR_STD;45742
43;ADD_INDEXED;3287
43;EMPTY;37902
43;REMOVE_ALL;12235
44;ADD_OBJ;12764
44;SET_INDEXED;0
44;CLEAR;0
44;GROW;11872
44;SIZE;44692
44;REMOVE_OBJ;0
44;ENSURE_CAP;12764
44;CSTR_STD;22346
45;ADD_OBJ;13398
45;SET_INDEXED;0
45;CLEAR;0
45;GROW;0
45;SIZE;8193
45;CONTAINS;13678
45;REMOVE_OBJ;0
45;CSTR_CAP;8193
45;ENSURE_CAP;13398
45;ITERATOR;5936
45;INDEX_OF;13678
46;ADD_OBJ;4651
46;SET_INDEXED;0
46;CLEAR;0
46;GROW;4295
46;SIZE;15652
46;REMOVE_OBJ;0
46;ENSURE_CAP;4651
46;CSTR_STD;7826
47;ADD_OBJ;30325
47;SET_INDEXED;3074
47;CLEAR;0
47;GROW;2779
47;GET_INDEXED;55031
47;SIZE;171773
47;REMOVE_OBJ;0
47;ENSURE_CAP;30325
47;ITERATOR;1588
47;CSTR_STD;794
48;ADD_OBJ;63790
48;REMOVE_INDEXED;63790
48;SET_INDEXED;77
48;CLEAR;0
48;GROW;145
48;GET_INDEXED;130691
48;SIZE;180495
48;REMOVE_OBJ;0
48;CSTR_CAP;1588
48;ENSURE_CAP;63790
49;ADD_OBJ;63790
49;REMOVE_INDEXED;63790
49;SET_INDEXED;0
49;CLEAR;0
49;GROW;145
49;GET_INDEXED;8350
49;SIZE;1588
49;REMOVE_OBJ;0
49;CSTR_CAP;1588
49;ENSURE_CAP;63790
50;ADD_OBJ;63790
50;REMOVE_INDEXED;63790
50;SET_INDEXED;0
50;CLEAR;0
50;GROW;145
50;GET_INDEXED;66824
50;SIZE;1588
50;REMOVE_OBJ;0
50;CSTR_CAP;1588
50;ENSURE_CAP;63790
51;ADD_OBJ;66013
51;SET_INDEXED;0
51;CLEAR;25574
51;GROW;32865
51;GET_INDEXED;66013
51;SIZE;145908
51;REMOVE_OBJ;0
51;CSTR_CAP;3143
51;ENSURE_CAP;66013
52;ADD_OBJ;23026
52;SET_INDEXED;0
52;CLEAR;0
52;GROW;0
52;SIZE;1588
52;REMOVE_OBJ;0
52;CSTR_CAP;794
52;ENSURE_CAP;23026
53;ADD_OBJ;59399
53;SET_INDEXED;0
53;CLEAR;0
53;GROW;21829
53;SIZE;12128
53;REMOVE_OBJ;0
53;ENSURE_CAP;59399
53;ITERATOR;12128
53;CSTR_STD;12128
54;ADD_OBJ;57226
54;SET_INDEXED;0
54;CLEAR;25328
54;GROW;27838
54;GET_INDEXED;68277
54;SIZE;794
54;REMOVE_OBJ;0
54;CSTR_CAP;794
54;ENSURE_CAP;57226
55;ADD_OBJ;756
55;SET_INDEXED;0
55;CLEAR;0
55;GROW;755
55;GET_INDEXED;756
55;SIZE;1509
55;REMOVE_OBJ;0
55;ENSURE_CAP;756
55;CSTR_STD;755
55;EMPTY;755
56;ADD_OBJ;20880
56;SET_INDEXED;0
56;CLEAR;0
56;GROW;831
56;GET_INDEXED;20880
56;SIZE;54766
56;REMOVE_OBJ;0
56;CSTR_CAP;16943
56;ENSURE_CAP;20880
57;ADD_OBJ;729
57;SET_INDEXED;0
57;CLEAR;0
57;GROW;0
57;REMOVE_OBJ;0
57;CSTR_CAP;40
57;ENSURE_CAP;729
57;ITERATOR;2724
58;ADD_OBJ;8719
58;SET_INDEXED;0
58;CLEAR;0
58;GROW;7922
58;GET_INDEXED;7201
58;SIZE;15143
58;REMOVE_OBJ;0
58;ENSURE_CAP;8719
58;ITERATOR;393
58;CSTR_STD;7594
59;ADD_OBJ;393
59;SET_INDEXED;0
59;CLEAR;0
59;GROW;5
59;ADD_ALL;7
59;SIZE;290
59;TO_ARRAY;7
59;REMOVE_OBJ;0
59;CSTR_CAP;276
59;ENSURE_CAP;400
59;ITERATOR;157
60;ADD_OBJ;0
60;SET_INDEXED;0
60;SORT;794
60;CLEAR;0
60;GROW;0
60;ADD_ALL;3176
60;SIZE;1588
60;REMOVE_OBJ;0
60;CSTR_CAP;794
60;ENSURE_CAP;3176
61;ADD_OBJ;0
61;SET_INDEXED;0
61;CLEAR;0
61;GROW;0
61;REMOVE_OBJ;0
61;ITERATOR;794
61;CSTR_STD;1
62;ADD_OBJ;2353
62;SET_INDEXED;0
